"Buildings","Class ","Item ","Num1","Type1","Num2","Typ2 "
"Bldg A","Soffit","3 - Stucco Soffit 18''","237","SF","158","LF"
"Bldg A","Soffit","3 - Stucco Soffit 6''","61","SF","123","LF"
"Bldg A","Soffit","3 - Stucco Soffit 6'","274","SF","46","LF"
"Bldg A","Soffit","3 - Stucco Soffit 1'8''","155","SF","93","LF"
"Bldg A","Soffit","3 - Stucco Soffit 5'","98","SF","20","LF"
"Bldg B","Soffit","3 - Stucco Soffit 18''","243","SF","162","LF"
"Bldg B","Soffit","3 - Stucco Soffit 6''","54","SF","108","LF"
"Bldg B","Soffit","3 - Stucco Soffit 6'","190","SF","32","LF"
"Bldg B","Soffit","3 - Stucco Soffit 1'8''","209","SF","126","LF"
"Bldg B","Soffit","3 - Stucco Soffit 5'","99","SF","20","LF"
"Bldg C","Soffit","3 - Stucco Soffit 18''","213","SF","142","LF"
"Bldg C","Soffit","3 - Stucco Soffit 6''","54","SF","108","LF"
"Bldg C","Soffit","3 - Stucco Soffit 6'","142","SF","24","LF"
"Bldg C","Soffit","3 - Stucco Soffit 1'8''","154","SF","92","LF"
"Bldg C","Soffit","3 - Stucco Soffit 5'","98","SF","20","LF"
"Bldg A","Stucco","2 - Stucco","4532","SF","4532","SF"
"Bldg A","Stucco","2 - Stucco 18''","360","SF","240","LF"
"Bldg A","Stucco","2 - Stucco 1' 8''","393","SF","236","LF"
"Bldg A","Stucco","2 - Stucco 6'","161","SF","27","LF"
"Bldg A","Stucco","2 - Stucco 6' 8''","415","SF","62","LF"
"Bldg A","Stucco","2 - Stucco 5'","176","SF","35","LF"
"Bldg B","Stucco","2 - Stucco","4550","SF","4550","SF"
"Bldg B","Stucco","2 - Stucco 18''","358","SF","239","LF"
"Bldg B","Stucco","2 - Stucco 1' 8''","360","SF","216","LF"
"Bldg B","Stucco","2 - Stucco 6'","215","SF","36","LF"
"Bldg B","Stucco","2 - Stucco 6' 8''","415","SF","62","LF"
"Bldg B","Stucco","2 - Stucco 5'","132","SF","26","LF"
"Bldg C","Stucco","2 - Stucco","4160","SF","4160","SF"
"Bldg C","Stucco","2 - Stucco 18''","359","SF","239","LF"
"Bldg C","Stucco","2 - Stucco 1' 8''","293","SF","176","LF"
"Bldg C","Stucco","2 - Stucco 6'","215","SF","36","LF"
"Bldg C","Stucco","2 - Stucco 6' 8''","356","SF","53","LF"
"Bldg C","Stucco","2 - Stucco 5'","133","SF","27","LF"
"Bldg A","Flashing","5.1 - Popout Flashing 18''","82","LF","123","SF"
"Bldg A","Flashing","5.1 - Popout Flashing 6''","41","LF","20","SF"
"Bldg A","Flashing","5.1 - Popout Flashing 20''","24","LF","39","SF"
"Bldg B","Flashing","5.1 - Popout Flashing 18''","82","LF","123","SF"
"Bldg B","Flashing","5.1 - Popout Flashing 6''","29","LF","15","SF"
"Bldg B","Flashing","5.1 - Popout Flashing 20''","33","LF","55","SF"
"Bldg C","Flashing","5.1 - Popout Flashing 18''","82","LF","123","SF"
"Bldg C","Flashing","5.1 - Popout Flashing 6''","29","LF","15","SF"
"Bldg C","Flashing","5.1 - Popout Flashing 20''","23","LF","39","SF"
"Bldg A","Metal","5.2 - Downspout   2.8","197","LF","7","EA"
"Bldg A","Metal","5.2 - Downdrain Scupper","7","EA","197","LF"
"Bldg A","Metal","5.2 - Downdrain Thru Popout","85","LF","3","EA"
"Bldg B","Metal","5.2 - Downspout   2.8","197","LF","7","EA"
"Bldg B","Metal","5.2 - Downdrain Scupper","7","EA","197","LF"
"Bldg B","Metal","5.2 - Downdrain Thru Popout","85","LF","3","EA"
"Bldg C","Metal","5.2 - Downspout   2.8","169","LF","6","EA"
"Bldg C","Metal","5.2 - Downdrain Scupper","6","EA","169","LF"
"Bldg C","Metal","5.2 - Downdrain Thru Popout","85","LF","3","EA"
"Bldg A","Fiber Cement","4 - Fiber Cement Siding","802","SF","802","SF"
"Bldg B","Fiber Cement","4 - Fiber Cement Siding","888","SF","888","SF"
"Bldg C","Fiber Cement","4 - Fiber Cement Siding","818","SF","818","SF"
"Bldg A","Trims","4.1 - Trim Garage 4''","93","LF","31","SF"
"Bldg A","Trims","4.1 - Trim Garage 6''","129","LF","64","SF"
"Bldg B","Trims","4.1 - Trim Garage 4''","93","LF","31","SF"
"Bldg B","Trims","4.1 - Trim Garage 6''","146","LF","73","SF"
"Bldg C","Trims","4.1 - Trim Garage 4''","80","LF","27","SF"
"Bldg C","Trims","4.1 - Trim Garage 6''","118","LF","59","SF"
"Bldg A","Wraps","5 - Fiber Cement Garage Wrap 23'4''","93","LF","4","EA"
"Bldg A","Wraps","5 - Fiber Cement Garage Wrap 27'4''","82","LF","3","EA"
"Bldg B","Wraps","5 - Fiber Cement Garage Wrap 23'4''","70","LF","3","EA"
"Bldg B","Wraps","5 - Fiber Cement Garage Wrap 27'4''","109","LF","4","EA"
"Bldg C","Wraps","5 - Fiber Cement Garage Wrap 23'4''","70","LF","3","EA"
"Bldg C","Wraps","5 - Fiber Cement Garage Wrap 27'4''","82","LF","3","EA"
"Bldg A","Brick","1 - Thin Brick","1788","SF","2314","SF"
"Bldg A","Brick","1 - Thin Brick 2'","97","SF","48","LF"
"Bldg B","Brick","1 - Thin Brick","1783","SF","2329","SF"
"Bldg B","Brick","1 - Thin Brick 2'","97","SF","48","LF"
"Bldg C","Brick","1 - Thin Brick","1624","SF","2084","SF"
"Bldg C","Brick","1 - Thin Brick 2'","80","SF","40","LF"
"Bldg A","Attachment","0 - Garage Door 14'","3","EA","0","IN"
"Bldg A","Attachment","0 - Garage Door 10''","4","EA","0","IN"
"Bldg B","Attachment","0 - Garage Door 14'","4","EA","0","IN"
"Bldg B","Attachment","0 - Garage Door 10''","3","EA","0","IN"
"Bldg C","Attachment","0 - Garage Door 14'","3","EA","0","IN"
"Bldg C","Attachment","0 - Garage Door 10''","3","EA","0","IN"
